Species,Category,Scheme,Rating,Region,Start,End
Arctic skua ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Balearic shearwater ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Bewick's swan,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Black grouse ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Black-tailed godwit ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Capercaillie ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Cirl bunting ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Common scoter ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Corn bunting ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Corncrake ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Cuckoo ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Curlew ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Dotterel ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Dunlin,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Fieldfare ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Goldeneye,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Grasshopper warbler ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Greenfinch,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Grey partridge ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Hawfinch ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Hen harrier ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Herring gull ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
House martin,Birds,BOCC5,Red,United Kingdom,01/12/2021,
House sparrow ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Kittiwake ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Lapwing ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Leach's storm-petrel,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Lesser spotted woodpecker ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Linnet ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Long-tailed duck ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Marsh tit ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Marsh warbler ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Merlin ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Mistle thrush ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Montagu's harrier,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Nightingale ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Pochard ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Ptarmigan,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Puffin ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Purple sandpiper,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Red-backed shrike ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Red-necked grebe ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Red-necked phalarope ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Redpoll ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Ring ouzel ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Ringed plover ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Roseate tern ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Ruff ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Savi's warbler ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Scaup ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Shag ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Skylark ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Slavonian grebe ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Smew,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Spotted flycatcher ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Common Starling ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Swift,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Tree pipit ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Tree sparrow ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Turtle dove ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Twite ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Velvet scoter ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Whimbrel ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Whinchat ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
White-fronted goose ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Willow tit ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Wood warbler ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Woodcock ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Yellow wagtail ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Yellowhammer ,Birds,BOCC5,Red,United Kingdom,01/12/2021,
Barnacle goose,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Bean goose,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
